Game.Id,Period,Time,Scorer,Assist.1,Assist.2,TeamId,Note,season,SQ
1107,1,682,1159,NA,NA,1,ES,66,NA
1107,2,51,1090,1059,1159,1,PP,66,NA
1107,3,216,1493,1412,1460,0,ES,66,NA
1107,3,393,1210,1105,NA,1,ES,66,NA
1107,3,460,1406,1174,1874,1,ES,66,NA
1208,1,199,1875,1744,1742,8,ES,66,NA
1208,1,390,1875,1076,1742,8,ES,66,NA
1208,1,902,1875,1141,1744,8,ES,66,NA
1208,1,1197,1143,1320,1744,8,ES,66,NA
1208,2,326,1143,NA,NA,8,ES,66,NA
1208,2,1024,1064,1290,993,8,ES,66,NA
1208,3,1000,1143,1018,1744,8,ES,66,NA
1159,1,282,1742,1064,1290,8,ES,66,NA
1159,1,311,1093,1346,1712,3,ES,66,NA
1159,2,262,1162,1039,1005,3,PP,66,NA
1159,2,411,1143,1290,993,8,PP,66,NA
1159,2,681,1005,1876,1346,3,ES,66,NA
1159,2,1174,1696,1429,1039,3,ES,66,NA
1159,3,54,1064,993,1028,8,PP,66,NA
1159,3,252,1076,1744,1742,8,ES,66,NA
1202,1,645,1476,1066,1449,15,ES,66,NA
1202,2,149,1340,1310,1314,14,ES,66,NA
1202,3,272,1101,1397,1043,15,ES,66,NA
1202,3,839,1122,1624,1310,14,ES,66,NA
1202,OT1,137,1101,1476,1046,15,ES,66,NA
1527,1,161,1748,1441,1265,17,ES,66,NA
1527,1,409,1748,1338,1155,17,ES,66,NA
1527,1,591,1412,1629,1460,0,ES,66,NA
1527,1,630,1348,1009,890,0,ES,66,NA
1527,1,982,1462,1010,1009,0,ES,66,NA
1527,2,1127,1462,1460,1493,0,ES,66,NA
1527,3,818,1265,1441,1353,17,ES,66,NA
1527,3,973,1199,1629,1348,0,ES,66,NA
1527,3,1196,1993,NA,NA,17,ES,66,NA
1529,1,939,1229,1463,1403,16,ES,66,NA
1529,2,87,1255,1260,1308,9,ES,66,NA
1529,2,218,1703,1733,NA,16,PP,66,NA
1529,2,292,1703,1403,1737,16,ES,66,NA
1529,2,576,1403,1264,1737,16,ES,66,NA
1529,2,726,1733,1734,1215,16,PP,66,NA
